"Triebzug­nummer, Namens­gebung","Indienst­stellung
 Redesign
(Aktueller Status)",Auslands­zulassungen und Beson­derheiten,Umbauten oder Umrüstungen,"Unfälle oder besondere Vorkommnisse
 Allgemeine Bemerkungen"
"Tz 9041
Baden-Württemberg
(seit 8. Januar 2020)",31. Oktober 2019,"Schweiz, Österreich,
265 km/h",,
Tz 9042,22. November 2019,"Schweiz, Österreich,
265 km/h",,
Tz 9043,10. Dezember 2019,"Schweiz, Österreich,
265 km/h",,
Tz 9044,15. Januar 2020,"Schweiz, Österreich,
265 km/h",,
Tz 9045,20. Januar 2020,"Schweiz, Österreich,
265 km/h",,
Tz 9046,14. Februar 2020,"Schweiz, Österreich,
265 km/h",,am 11. Mai 2022 erstmalig als „Female ICE“ von München nach Berlin gefahren.
Tz 9047,17. Februar 2020,"Schweiz, Österreich,
265 km/h",,
Tz 9048,17. März 2020,"Schweiz, Österreich,
265 km/h",,
Tz 9049,4. Mai 2020,"Schweiz, Österreich,
265 km/h",,"Dieser Triebzug wurde bei einem Rangierunfall am 29. September 2022 mit einer Lok in Hamburg erheblich beschädigt. Der Triebzug wurde zum Oktober 2022 abgestellt und einige Wagen zeitweise in die Triebzüge 9019, 9023, 9039 und 9466 eingereiht. Seit April 2023 wieder in Betrieb."
"Tz 9050
Metropole Ruhr
(seit 2. Oktober 2020)",25. Mai 2020,"Schweiz, Österreich,
265 km/h",,
"Tz 9201
Hannover","29. Oktober 2018
3. August 2020",Österreich,,"Vorserieneinheit, siebenteilig – ab Februar 2019 für Zulassungsfahrten von Siemens in Betrieb genommen
Die beiden Endwagen wurden im Mai 2023 anlässlich der Europameisterschaft der Männer 2024 in Deutschland mit drei schemenhaften Handballer-Figuren in Bundesfarben und dem Schriftzug „Klimafreundlicher Mobilitätspartner der Handball-EM 2024“ versehen."
"Tz 9202
Schleswig-Holstein
(seit 4. Februar 2022)","16. November 2018
3. August 2020",Österreich,,"Vorserieneinheit, siebenteilig – ab Februar 2019 für Zulassungsfahrten von Siemens in Betrieb genommen"
"Tz 9203
Stendal","12. Dezember 2018
3. August 2020",Österreich,,"Vorserieneinheit, siebenteilig – ab Februar 2019 für Zulassungsfahrten von Siemens in Betrieb genommen"
Tz 9204,"4. Januar 2019
3. August 2020",Österreich,,"Vorserieneinheit, siebenteilig – ab Februar 2019 für Zulassungsfahrten von Siemens in Betrieb genommen"
"Tz 9205
Biosphärengebiet Schwäbische Alb
(seit 24. Juli 2025)",26. März 2020,Österreich,,
Tz 9206,26. März 2020,Österreich,,
Tz 9207,"19. Juni 2020
15. Juli 2020",Österreich,,
"Tz 9208
Nationalpark Bayerischer Wald
(seit 8. Mai 2024)","9. Juli 2020
16. August 2020",Österreich,,
Tz 9209,28. Juli 2020,Österreich,,
Tz 9210,14. August 2020,Österreich,,
Tz 9211,1. September 2020,Österreich,,
Tz 9212,"27. Juli 2020
26. August 2020",Österreich,,
Tz 9213,28. September 2020,Österreich,,Die beiden Endwagen sind mit einer stilisierten Darstellung eines roten Mund-Nasen-Schutzes versehen.
Tz 9214,11. September 2020,Österreich,,
Tz 9215,13. Oktober 2020,Österreich,,
Tz 9216,29. Oktober 2020,Österreich,,
Tz 9217,2. November 2020,Österreich,,
Tz 9218,16. November 2020,Österreich,,Im April 2021 im Rahmen eines Malwettbewerbes mit von Kindern gemalten Bildern versehen.
Tz 9219,4. Dezember 2020,Österreich,,
Tz 9220,3. April 2023,Österreich,,erster Fahrgasteinsatz am 13. Mai 2023 als ICE 656 Berlin–Hannover–Hamm (Westfalen)
Tz 9221,1. Mai 2023,Österreich,,erster Fahrgasteinsatz am 11. Juni 2023 als ICE 797 Berlin–Frankfurt (Main)
Tz 9222,15. Mai 2023,Österreich,,erster Fahrgasteinsatz am 1. August 2023 als ICE 2920 Berlin–Düsseldorf
Tz 9223,22. Mai 2023,Österreich,,erster Fahrgasteinsatz am 24. Juni 2023 als ICE 2943 Berlin–Stuttgart
Tz 9224,5. Juni 2023,Österreich,,erster Fahrgasteinsatz am 15. Juli 2023 als ICE 646 Berlin–Düsseldorf
Tz 9225,19. Juni 2023,Österreich,,erster Fahrgasteinsatz am 22. Juli 2023 als ICE 646 Berlin–Düsseldorf
Tz 9226,3. Juli 2023,Österreich,,erster Fahrgasteinsatz am 5. August 2023 als ICE 2902 Berlin–Rostock
Tz 9227,17. Juli 2023,Österreich,,erster Fahrgasteinsatz am 19. August 2023 als ICE 646 Berlin–Düsseldorf
Tz 9228,31. Juli 2023,Österreich,,erster Fahrgasteinsatz am 3. September 2023 als ICE 754 Berlin–Düsseldorf
Tz 9229,14. August 2023,Österreich,,erster Fahrgasteinsatz am 17. September 2023 als ICE 956 Berlin–Köln
Tz 9230,28. August 2023,Österreich,,erster Fahrgasteinsatz am 30. September 2023 als ICE 844 Berlin–Köln
Tz 9231,11. September 2023,Österreich,,erster Fahrgasteinsatz am 14. Oktober 2023 als ICE 501 Berlin–München
Tz 9232,25. September 2023,Österreich,,erster Fahrgasteinsatz am 29. Oktober 2023 als ICE 956 Berlin–Köln
Tz 9233,9. Oktober 2023,Österreich,,erster Fahrgasteinsatz am 11. November 2023 als ICE 548 Berlin–Köln
"Tz 9234
Ruhr
(seit 14. Juni 2024)",25. Oktober 2023,Österreich,,erster Fahrgasteinsatz am 26. November 2023 als ICE 954 Berlin–Köln
Tz 9235,13. November 2023,Österreich,,erster Fahrgasteinsatz am 16. Dezember 2023 als ICE 573 Berlin–Stuttgart
Tz 9236,13. Dezember 2023,Österreich,,erster Fahrgasteinsatz am 19. Januar 2024 als ICE Berlin–Hamburg
"Tz 9237
Spree
(seit 19. März 2024)",22. Januar 2024,Österreich,,"Erhielt anlässlich der letzten Auslieferung eines ICE 4 die Sonderbeklebung „ICE 4#137 – The final one“, später dann „ICE 4-Flotte komplett. – #StarkeSchiene“. Mit seiner Auslieferung am 19. Februar 2024 sind alle 137 bestellten ICE 4 ausgeliefert.
Erster Fahrgasteinsatz am 24. Februar 2024 als ICE 942 Berlin–Köln"
